abbrev,city,full,mascot
ARI,Arizona,Arizona Cardinals,Cardinals
ATL,Atlanta,Atlanta Falcons,Falcons
BAL,Baltimore,Baltimore Ravens,Ravens
BUF,Buffalo,Buffalo Bills,Bills
CAR,Carolina,Carolina Panthers,Panthers
CHI,Chicago,Chicago Bears,Bears
CIN,Cincinnati,Cincinnati Bengals,Bengals
CLE,Cleveland,Cleveland Browns,Browns
DAL,Dallas,Dallas Cowboys,Cowboys
DEN,Denver,Denver Broncos,Broncos
DET,Detroit,Detroit Lions,Lions
GB,Green Bay,Green Bay Packers,Packers
IND,Indianapolis,Indianapolis Colts,Colts
JAX,Jacksonville,Jacksonville Jaguars,Jaguars
KC,Kansas City,Kansas City Chiefs,Chiefs
LV,Las Vegas,Las Vegas Raiders,Raiders
MIA,Miami,Miami Dolphins,Dolphins
MIN,Minnesota,Minnesota Vikings,Vikings
NE,New England,New England Patriots,Patriots
NO,New Orleans,New Orleans Saints,Saints
NYG,New York Giants,New York Giants,Giants
NYJ,New York Jets,New York Jets,Jets
PHI,Philadelphia,Philadelphia Eagles,Eagles
PIT,Pittsburgh,Pittsburgh Steelers,Steelers
SEA,Seattle,Seattle Seahawks,Seahawks
SF,San Francisco,San Francisco 49ers,49ers
TB,Tampa Bay,Tampa Bay Buccaneers,Buccaneers
TEN,Tennessee,Tennessee Titans,Titans
WAS,Washington,Washington Football Team,Football Team
HOU,Houston,Houston Texans,Texans
LA,Los Angeles,Los Angeles Rams,Rams
LAC,Los Angeles,Los Angeles Chargers,Chargers
STL,St. Louis,St. Louis Rams,NANA
SD,San Diego,San Diego Chargers,NANA
OAK,Oakland,Oakland Raiders,NANA
